kubectl get events -n quota-demo --sort-by='.lastTimestamp'
LAST SEEN   TYPE      REASON              OBJECT                         MESSAGE
44m         Warning   FailedCreate        replicaset/app-v1-55c48866d6   Error creating: pods "app-v1-55c48866d6-dkk5b" is forbidden: exceeded quota: mem-quota, requested: requests.memory=52Mi, used: requests.memory=452Mi, limited: requests.memory=500Mi
44m         Warning   FailedCreate        replicaset/app-v1-55c48866d6   Error creating: pods "app-v1-55c48866d6-r88g5" is forbidden: exceeded quota: mem-quota, requested: requests.memory=52Mi, used: requests.memory=452Mi, limited: requests.memory=500Mi
44m         Normal    ScalingReplicaSet   deployment/app-v1              Scaled down replica set app-v1-679646dd78 from 8 to 7
44m         Warning   FailedCreate        replicaset/app-v1-55c48866d6   Error creating: pods "app-v1-55c48866d6-r6m2k" is forbidden: exceeded quota: mem-quota, requested: requests.memory=52Mi, used: requests.memory=452Mi, limited: requests.memory=500Mi
44m         Warning   FailedCreate        replicaset/app-v1-55c48866d6   Error creating: pods "app-v1-55c48866d6-ttp6x" is forbidden: exceeded quota: mem-quota, requested: requests.memory=52Mi, used: requests.memory=452Mi, limited: requests.memory=500Mi
44m         Normal    ScalingReplicaSet   deployment/app-v1              Scaled up replica set app-v1-55c48866d6 from 2 to 3
44m         Normal    SuccessfulDelete    replicaset/app-v1-679646dd78   Deleted pod: app-v1-679646dd78-n5h9r
44m         Normal    Started             pod/app-v1-55c48866d6-mkrn7    Container started
44m         Normal    Killing             pod/app-v1-679646dd78-n5h9r    Stopping container nginx
44m         Normal    Created             pod/app-v1-55c48866d6-dw7mk    Container created
44m         Normal    Started             pod/app-v1-55c48866d6-dw7mk    Container started
44m         Normal    Pulled              pod/app-v1-55c48866d6-dw7mk    Container image "nginx:alpine" already present on machine and can be accessed by the pod
44m         Normal    Scheduled           pod/app-v1-55c48866d6-dw7mk    Successfully assigned quota-demo/app-v1-55c48866d6-dw7mk to quota-test-control-plane

# After the first old pod is deleted, there is enough memory quota to create another new pod for the new replicaset
44m         Normal    SuccessfulCreate    replicaset/app-v1-55c48866d6   Created pod: app-v1-55c48866d6-dw7mk
44m         Normal    SuccessfulDelete    replicaset/app-v1-679646dd78   Deleted pod: app-v1-679646dd78-45xg6
44m         Normal    ScalingReplicaSet   deployment/app-v1              Scaled up replica set app-v1-55c48866d6 from 3 to 4
44m         Normal    ScalingReplicaSet   deployment/app-v1              Scaled down replica set app-v1-679646dd78 from 7 to 6
44m         Normal    Killing             pod/app-v1-679646dd78-45xg6    Stopping container nginx
44m         Normal    Started             pod/app-v1-55c48866d6-g2k54    Container started

# Third pod created
44m         Normal    SuccessfulCreate    replicaset/app-v1-55c48866d6   Created pod: app-v1-55c48866d6-g2k54
44m         Normal    Scheduled           pod/app-v1-55c48866d6-g2k54    Successfully assigned quota-demo/app-v1-55c48866d6-g2k54 to quota-test-control-plane
44m         Normal    Created             pod/app-v1-55c48866d6-g2k54    Container created
44m         Warning   FailedCreate        replicaset/app-v1-55c48866d6   (combined from similar events): Error creating: pods "app-v1-55c48866d6-btmx5" is forbidden: exceeded quota: mem-quota, requested: requests.memory=52Mi, used: requests.memory=456Mi, limited: requests.memory=500Mi
44m         Normal    Pulled              pod/app-v1-55c48866d6-g2k54    Container image "nginx:alpine" already present on machine and can be accessed by the pod
44m         Normal    SuccessfulDelete    replicaset/app-v1-679646dd78   Deleted pod: app-v1-679646dd78-qwq8s
44m         Normal    Killing             pod/app-v1-679646dd78-qwq8s    Stopping container nginx
44m         Normal    ScalingReplicaSet   deployment/app-v1              Scaled down replica set app-v1-679646dd78 from 6 to 5
44m         Normal    ScalingReplicaSet   deployment/app-v1              Scaled up replica set app-v1-55c48866d6 from 4 to 5
27m         Normal    Pulled              pod/app-v1-55c48866d6-brh5b    Container image "nginx:alpine" already present on machine and can be accessed by the pod
27m         Normal    Killing             pod/app-v1-679646dd78-hp995    Stopping container nginx
27m         Warning   FailedCreate        replicaset/app-v1-55c48866d6   Error creating: pods "app-v1-55c48866d6-fljqr" is forbidden: exceeded quota: mem-quota, requested: requests.memory=52Mi, used: requests.memory=458Mi, limited: requests.memory=500Mi
27m         Warning   FailedCreate        replicaset/app-v1-55c48866d6   Error creating: pods "app-v1-55c48866d6-nv6sr" is forbidden: exceeded quota: mem-quota, requested: requests.memory=52Mi, used: requests.memory=458Mi, limited: requests.memory=500Mi
27m         Normal    Scheduled           pod/app-v1-55c48866d6-brh5b    Successfully assigned quota-demo/app-v1-55c48866d6-brh5b to quota-test-control-plane
27m         Normal    Started             pod/app-v1-55c48866d6-brh5b    Container started
27m         Normal    Created             pod/app-v1-55c48866d6-brh5b    Container created

# Forth pod creation is attempted and succeeded 17 minutes after the last successful pod creation
27m         Normal    SuccessfulCreate    replicaset/app-v1-55c48866d6   Created pod: app-v1-55c48866d6-brh5b
27m         Normal    ScalingReplicaSet   deployment/app-v1              Scaled up replica set app-v1-55c48866d6 from 5 to 6
27m         Normal    ScalingReplicaSet   deployment/app-v1              Scaled down replica set app-v1-679646dd78 from 5 to 4
27m         Normal    SuccessfulDelete    replicaset/app-v1-679646dd78   Deleted pod: app-v1-679646dd78-hp995
27m         Warning   FailedCreate        replicaset/app-v1-55c48866d6   Error creating: pods "app-v1-55c48866d6-99zrm" is forbidden: exceeded quota: mem-quota, requested: requests.memory=52Mi, used: requests.memory=458Mi, limited: requests.memory=500Mi
10m         Normal    SuccessfulDelete    replicaset/app-v1-679646dd78   Deleted pod: app-v1-679646dd78-qlsks
10m         Warning   FailedCreate        replicaset/app-v1-55c48866d6   Error creating: pods "app-v1-55c48866d6-px468" is forbidden: exceeded quota: mem-quota, requested: requests.memory=52Mi, used: requests.memory=460Mi, limited: requests.memory=500Mi
10m         Normal    Killing             pod/app-v1-679646dd78-qlsks    Stopping container nginx
10m         Warning   FailedCreate        replicaset/app-v1-55c48866d6   Error creating: pods "app-v1-55c48866d6-729zc" is forbidden: exceeded quota: mem-quota, requested: requests.memory=52Mi, used: requests.memory=460Mi, limited: requests.memory=500Mi
10m         Normal    Started             pod/app-v1-55c48866d6-h6jnd    Container started
10m         Normal    Scheduled           pod/app-v1-55c48866d6-h6jnd    Successfully assigned quota-demo/app-v1-55c48866d6-h6jnd to quota-test-control-plane
10m         Normal    Pulled              pod/app-v1-55c48866d6-h6jnd    Container image "nginx:alpine" already present on machine and can be accessed by the pod
10m         Normal    Created             pod/app-v1-55c48866d6-h6jnd    Container created
10m         Warning   FailedCreate        replicaset/app-v1-55c48866d6   Error creating: pods "app-v1-55c48866d6-sgsjt" is forbidden: exceeded quota: mem-quota, requested: requests.memory=52Mi, used: requests.memory=460Mi, limited: requests.memory=500Mi

# Fifth pod creation again is attempted and succeeded 17 minutes after the last successful pod creation
10m         Normal    SuccessfulCreate    replicaset/app-v1-55c48866d6   Created pod: app-v1-55c48866d6-h6jnd
10m         Normal    ScalingReplicaSet   deployment/app-v1              Scaled down replica set app-v1-679646dd78 from 4 to 3
10m         Normal    ScalingReplicaSet   deployment/app-v1              Scaled up replica set app-v1-55c48866d6 from 6 to 7
